Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Surface_tension, mN/m",Smiles#1,Smiles#2
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,313.15,48.4,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,318.15,48.01,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,323.15,47.49,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,328.15,47.03,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,methyl(triphenyl)phosphanium bromide,2-[2-(2-hydroxyethoxy)ethoxy]ethanol,0.16,0.84,298.15,49.85,C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,303.15,47.15,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,308.15,46.53,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,313.15,46.04,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,318.15,45.55,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,323.15,44.99,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,328.15,44.57,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.25,0.75,298.15,47.51,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,298.15,51.29,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,303.15,50.74,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,308.15,50.17,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,313.15,49.63,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,318.15,49.14,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,323.15,48.67,CC(C)(C)NCCO.Cl,C(CO)O
III,2-(tert-butylamino)ethanol;hydrochloride,"ethane-1,2-diol",0.333,0.667,328.15,48.12,CC(C)(C)NCCO.Cl,C(CO)O
