Type of DES,Component#1,Component#2,X#1,X#2,"T, K",Refractive_index,Smiles#1,Smiles#2
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,298.15,1.568189,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,308.15,1.565228,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,313.15,1.563742,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,318.15,1.562264,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,323.15,1.560757,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,328.15,1.559261,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,"2-hydroxy-2,2-diphenylacetic acid",0.5,0.5,333.15,1.55776,C[N+](C)(C)CCO.[Cl-],C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,293.15,1.46336,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,303.15,1.4603,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
III,2-hydroxyethyl(trimethyl)azanium chloride,4-oxopentanoic acid,0.3333,0.6667,308.15,1.45878,C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O
