Type of DES,Component#1,Component#2,X#1,X#2,"T, K","Electrical_conductivity, S.cm-1",lg_Conductivity,Smiles#1,Smiles#2,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,293.15,4.00E-05,-4.397940009,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,303.15,1.90E-04,-3.721246399,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,313.15,2.60E-04,-3.585026652,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,323.15,5.20E-04,-3.283996656,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,333.15,9.50E-04,-3.022276395,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,343.15,1.99E-03,-2.701146924,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,353.15,3.56E-03,-2.448550002,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,2-hydroxypropanoic acid,0.5,0.5,363.15,5.98E-03,-2.223298816,C(CO)N(CCO)CCO,CC(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,293.15,1.02E-03,-2.991399828,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,303.15,1.20E-03,-2.920818754,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,313.15,1.62E-03,-2.790484985,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,323.15,2.51E-03,-2.600326279,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
V,2-[bis(2-hydroxyethyl)amino]ethanol,oxalic acid,0.5,0.5,333.15,3.40E-03,-2.468521083,C(CO)N(CCO)CCO,C(=O)(C(=O)O)O,,,
